frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
150,0.9887737,0.05367824,0.1390355,-0.0107084,6.265105,15.98851,359.6397
450,0.9886868,0.05375888,0.1392538,-0.01473266,6.338635,15.98922,359.1837
750,0.988706,0.05421743,0.1391912,-0.01211785,6.348958,15.99865,359.4887
1050,0.9887736,0.05395278,0.1388405,-0.01180552,6.313721,15.95948,359.5178
1200,0.9886407,0.05418562,0.1397161,-0.01154576,6.336441,16.06317,359.5568
1350,0.9886581,0.054991,0.1393638,-0.01044023,6.410127,16.03023,359.6935
1500,0.9887809,0.05377801,0.1390369,-0.009445461,6.25628,15.99654,359.7853
1650,0.9885865,0.05537297,0.139818,-0.009034343,6.431096,16.09245,359.8629
1800,0.9885975,0.05523572,0.1398098,-0.008798959,6.411717,16.09274,359.8875
1950,0.9884124,0.05656492,0.1406484,-0.007711614,6.545267,16.19953,0.03846842
2100,0.9943753,0.02011233,0.1034819,0.01024666,2.170752,11.90912,1.407222
2250,0.9945216,0.02277799,0.1018075,0.006584636,2.519859,11.7122,1.017181
2400,0.9882256,0.03443104,0.1029989,0.1077779,2.627889,12.19364,12.72913
2414,0.9879606,0.03256984,0.1039912,0.1098137,2.379382,12.28737,12.94116
2425,0.987348,0.03498124,0.1053275,0.1132547,2.591778,12.48209,13.37062
2435,0.9876174,0.03591569,0.1034143,0.112372,2.734056,12.27367,13.27652
2450,0.9884158,0.03267722,0.1035169,0.1060707,2.443669,12.22552,12.51212
2453,0.9894724,0.03126055,0.1043888,0.09523864,2.405938,12.28189,11.25468
2466,0.9904552,0.02928271,0.1033711,0.08634661,2.301326,12.12207,10.20914
2477,0.9913421,0.02829515,0.1023339,0.07725314,2.309022,11.97213,9.154014
2481,0.9918433,0.02731803,0.1020084,0.07137972,2.271096,11.91233,8.469563
2484,0.9923781,0.02720483,0.1016031,0.06420825,2.346771,11.84841,7.647466
2487,0.9922334,0.02797811,0.1037539,0.06265174,2.437003,12.09842,7.484258
2489,0.9922054,0.02698364,0.1046811,0.06198689,2.325065,12.19559,7.398105
2491,0.992183,0.02662038,0.1050244,0.06192119,2.282013,12.23205,7.38684
2497,0.9927611,0.02483958,0.1025836,0.05731565,2.15255,11.92758,6.833337
2505,0.9929794,0.02400505,0.1024751,0.05398899,2.097951,11.90219,6.443013
2514,0.9932734,0.0227074,0.1032287,0.04729047,2.025589,11.96686,5.664
2524,0.9935235,0.02103159,0.1069927,0.03195811,2.003021,12.36124,3.901665
2527,0.9939548,0.01540412,0.1084692,0.007147255,1.665908,12.47059,1.006009
2533,0.9942634,0.01616368,0.1056461,0.00424582,1.790487,12.1411,0.6797718
2545,0.9941334,0.01544331,0.106657,0.009196382,1.64712,12.26505,1.237
2556,0.9942053,0.0156368,0.1062628,0.004435548,1.727713,12.21197,0.696071
2565,0.9941328,0.01643829,0.1068878,0.002242166,1.845493,12.28094,0.457011
2576,0.9940207,0.02127452,0.1068387,0.007474506,2.332439,12.29201,1.112846
2586,0.9942195,0.01902674,0.1056267,-0.002917849,2.203561,12.12684,359.8978
2595,0.9941858,0.02103439,0.1055943,-0.001456933,2.414693,12.12739,0.08861782
2611,0.9940543,0.02369122,0.1052656,0.01462907,2.523024,12.13269,1.95445
2624,0.993853,0.02449752,0.1068154,0.01570681,2.59859,12.31619,2.091272
2632,0.9940042,0.02586078,0.1035845,0.02360868,2.666387,11.96842,3.000718
2643,0.9938722,0.02875837,0.1032628,0.02697941,2.957337,11.95173,3.419548
2656,0.9943417,0.02568435,0.1022432,0.01308958,2.774279,11.78508,1.794788
2665,0.9938927,0.02511704,0.106678,0.01290782,2.703835,12.29461,1.7794
2676,0.9940514,0.0245124,0.1051422,0.01436169,2.620082,12.11984,1.933662
2686,0.994138,0.02160886,0.1046822,0.01625582,2.267269,12.06395,2.113206
2701,0.9941804,0.01962709,0.1039845,0.02018658,1.995875,11.98626,2.535986
2717,0.9940635,0.02167618,0.1055151,0.01531714,2.284565,12.15804,2.008892
2730,0.9945123,0.0229139,0.1012162,0.01325272,2.458373,11.66065,1.778005
2743,0.994249,0.02267529,0.1046209,0.003074955,2.547427,12.02766,0.6228118
2756,0.9878124,0.04820357,0.1373712,0.05506635,4.594492,16.11671,7.032218
2759,0.9878324,0.04840578,0.1372057,0.05494218,4.620573,16.09869,7.020684
2762,0.988157,0.04905652,0.1355185,0.05266961,4.742379,15.8984,6.764635
2769,0.9884806,0.04721247,0.1393201,0.03559926,4.785049,16.2463,4.808506
2775,0.9882926,0.04957218,0.1391644,0.03812683,5.012429,16.25548,5.134876
2783,0.9889717,0.04971639,0.1363979,0.02930797,5.183231,15.89177,4.118852
2791,0.9895195,0.0502787,0.1347697,0.01265878,5.514145,15.61865,2.222705
2797,0.9894819,0.04749149,0.1366313,0.001483865,5.369507,15.76674,0.9158723
2805,0.9894819,0.04727746,0.1367063,-0.001447991,5.391249,15.75958,0.5790084
2812,0.9893287,0.04886144,0.137196,-0.004313834,5.616168,15.80413,0.2804687
2821,0.9892396,0.04877639,0.1378317,-0.005342135,5.622613,15.87216,0.165612
2831,0.9894572,0.04811441,0.1364439,-0.006518882,5.566053,15.70352,0.01321292
2842,0.9890134,0.04822233,0.1393251,-0.01076294,5.646131,16.01501,359.5479
2851,0.988875,0.04910555,0.1400551,-0.009982616,5.73426,16.10519,359.6552
2861,0.9891557,0.04851397,0.1379251,-0.01393287,5.728755,15.8351,359.1834
2877,0.9888983,0.05272118,0.1379555,-0.01640033,6.245961,15.82724,358.9688
2892,0.9883877,0.05474272,0.1405981,-0.01803238,6.504699,16.12564,358.832
2904,0.9885578,0.05799755,0.1375484,-0.02169152,6.928757,15.74849,358.4454
2920,0.9882135,0.06058192,0.1398012,-0.0148131,7.11594,16.05995,359.2876
2935,0.9881886,0.06222336,0.1393186,-0.01420963,7.29258,16.01022,359.3793
2949,0.988524,0.06009962,0.1378179,-0.01465817,7.057197,15.82959,359.2833
2963,0.9882952,0.06010459,0.1389984,-0.01843174,7.118743,15.94081,358.8611
2977,0.988109,0.05801389,0.141453,-0.01631505,6.849612,16.23901,359.0865
2988,0.9881217,0.05660699,0.142597,-0.008797994,6.567767,16.41934,359.9283
3003,0.9885513,0.05404057,0.1407196,-0.006648747,6.241243,16.20966,0.1189568
3010,0.9889717,0.05211943,0.1382223,-0.01064886,6.08669,15.89227,359.6165
3022,0.9893976,0.04769669,0.1369836,-0.007282985,5.530596,15.76141,359.9226
3034,0.9895223,0.04443966,0.1372317,-0.00620497,5.143535,15.79117,-0.004766067
3046,0.9896259,0.04051946,0.1377423,-0.005102757,4.680766,15.85025,0.06110032
3057,0.9899604,0.03524619,0.1366465,-0.007996229,4.127144,15.70518,359.6439
3068,0.9901308,0.03390133,0.1357812,-0.007445726,3.965482,15.60605,359.6819
3078,0.989917,0.03249789,0.1376526,-0.007747663,3.811456,15.82075,359.6329
3093,0.9896216,0.03360737,0.1395356,-0.007044774,3.92687,16.04249,359.7379
3107,0.9897097,0.03473425,0.138629,-0.007101644,4.055493,15.93812,359.7457
3122,0.9896287,0.03323615,0.1388848,-0.01554138,4.01972,15.93407,358.7634
3132,0.9895692,0.03584117,0.1382953,-0.01851468,4.361878,15.85296,358.4639
3147,0.9894922,0.0379918,0.1376802,-0.02249927,4.667926,15.76297,358.0414
3157,0.9893335,0.03848873,0.1383196,-0.0246125,4.759024,15.82702,357.8117
3170,0.9892715,0.03884083,0.1394848,-0.01942965,4.718972,15.9859,358.4127
3181,0.9893779,0.04176604,0.1384683,-0.01461903,4.973405,15.89079,359.0015
3196,0.9896667,0.04206535,0.1364182,-0.01343545,4.986846,15.65882,359.1306
3210,0.98965,0.04361337,0.1366893,-0.002608804,4.993179,15.74469,0.3887609
3223,0.9888148,0.04797754,0.1410358,0.007238965,5.327006,16.30939,1.602766
3225,0.9888883,0.04695841,0.1408778,0.006959239,5.216101,16.28646,1.553299
3236,0.9889743,0.04788421,0.1396696,0.01137551,5.251914,16.17177,2.064662
3245,0.9888409,0.04947062,0.1384749,0.02390155,5.233658,16.10393,3.510174
3253,0.9883114,0.05152143,0.1396589,0.03288773,5.316211,16.29894,4.573649
3264,0.987525,0.05551454,0.1401981,0.04535559,5.562209,16.45533,6.064215
3279,0.9867258,0.05793221,0.1380232,0.06297713,5.56309,16.32003,8.10213
3291,0.9870625,0.05779038,0.1349457,0.06448008,5.548185,15.97043,8.253982
3299,0.9854552,0.06140536,0.138292,0.07734801,5.717937,16.46745,9.803922
3312,0.98444,0.06238188,0.1389755,0.08759066,5.651449,16.61529,10.9949
3325,0.9818263,0.06743123,0.1373492,0.1122745,5.829577,16.63828,13.90033
3332,0.9819795,0.06631218,0.1383496,0.110356,5.721838,16.72525,13.66592
3341,0.9811198,0.06908957,0.1384487,0.1160298,5.937405,16.81331,14.36748
3353,0.9804322,0.07039768,0.1388914,0.1204418,6.003178,16.91185,14.90016
3366,0.9776211,0.07289074,0.1403643,0.1387155,5.945223,17.23321,17.05336
3378,0.9815965,0.06894945,0.1382633,0.1122399,5.988205,16.76755,13.92953
3391,0.9858546,0.05910433,0.1370387,0.07627536,5.487648,16.29019,9.634301
3401,0.9874513,0.05546613,0.1378822,0.05340406,5.440573,16.2296,6.967706
3407,0.9884654,0.05324458,0.1374407,0.03480792,5.491194,16.06258,4.808949
3415,0.9892342,0.04819784,0.1372408,0.01605226,5.218369,15.91497,2.589249
