frame,w,x,y,z,euler_x,euler_y,euler_z
4279,0.9811421,-0.1277883,0.0310703,0.008047246,345.1443,3.565709,0.4748359
4280,0.9810913,-0.1280161,0.03167333,0.008259264,345.1167,3.634185,0.4898184
4281,0.9813612,-0.1260634,0.03115054,0.008240029,345.3448,3.571516,0.5027336
4282,0.9819327,-0.121944,0.02963123,0.00772483,345.8279,3.397368,0.4790212
4283,0.9818727,-0.1224075,0.02974897,0.007568869,345.7743,3.413802,0.45721
4284,0.9812915,-0.1267652,0.03063538,0.007670423,345.2653,3.519366,0.4405169
4285,0.9813705,-0.1259386,0.03134113,0.008302322,345.3591,3.593143,0.5076675
4286,0.9818175,-0.1227065,0.03012335,0.008358669,345.7365,3.446617,0.5441803
4287,0.9828703,-0.1138506,0.02991123,0.01046423,346.7614,3.390332,0.8264197
4288,0.9835465,-0.1074031,0.03140864,0.01069077,347.51,3.564531,0.8553283
4289,0.9838443,-0.1046612,0.03151073,0.01016906,347.8309,3.583382,0.8022832
4290,0.9840387,-0.1029454,0.03170312,0.008054361,348.0381,3.632177,0.5572506
4291,0.984064,-0.1026171,0.03226563,0.006807962,348.0807,3.713625,0.4049481
4292,0.9844448,-0.09936338,0.0307313,0.007128042,348.4586,3.528226,0.4730339
4293,0.98518,-0.09150866,0.03148945,0.007410362,349.3703,3.612551,0.5257415
4294,0.9854217,-0.08878904,0.03177046,0.007144815,349.6871,3.647948,0.5015291
4295,0.9860248,-0.08225883,0.03049644,0.00763838,350.4444,3.493253,0.5956187
4296,0.9862884,-0.0785355,0.03128726,0.009386271,350.8698,3.569573,0.8054036
4297,0.9865891,-0.07359525,0.03349292,0.01018137,351.4382,3.821586,0.8963454
4298,0.9871807,-0.06488063,0.03421173,0.009705141,352.4501,3.912405,0.8682892
4299,0.9882353,-0.0492816,0.02985574,0.008420691,354.2663,3.420576,0.8050591
4300,0.9886448,-0.03971056,0.03108365,0.00618034,355.3819,3.578584,0.571996
4301,0.9887603,-0.03488562,0.03321237,0.005743852,355.941,3.828895,0.5299382
4302,0.9888067,-0.03409318,0.03286148,0.004325971,356.0383,3.794076,0.3700585
4303,0.9892064,-0.02073314,0.03213971,0.002792975,357.5906,3.716656,0.2453585
4304,0.9892722,-0.01225013,0.03388591,0.006470421,358.5572,3.914797,0.7001719
4305,0.9892992,-0.001788968,0.03501974,0.007562548,359.7621,4.052879,0.8675427
4306,0.9893461,0.007789189,0.0334275,0.004014528,0.8854315,3.874111,0.494929
4307,0.9893456,0.01035287,0.03298282,0.0002569318,1.196761,3.819568,0.069666
4308,0.9893699,0.01026179,0.03217743,-0.002533561,1.196778,3.722907,359.7455
4309,0.9894347,0.008865126,0.0306315,-0.001357028,1.030565,3.545334,359.8747
4310,0.989406,0.01341686,0.02984055,-0.002263278,1.560306,3.452113,359.7849
4311,0.9893565,0.01731602,0.029432,-0.002765334,2.013146,3.40336,359.7395
4312,0.9891677,0.02566581,0.02974722,-0.001807702,2.976225,3.441954,359.88
