frame,quat_w,quat_x,quat_y,quat_z,euler_x,euler_y,euler_z
10080,0.9831977,-0.1049967,0.1400336,-0.05185248,348.9338,16.95817,352.3074
10081,0.981966,-0.1064309,0.1425892,-0.06390346,349.0006,17.40557,350.8644
10082,0.9784496,-0.1094616,0.1441913,-0.09931605,349.306,18.01596,346.7082
10083,0.9731387,-0.1129414,0.1446461,-0.139007,349.6534,18.54765,342.0473
10084,0.9687378,-0.1172051,0.1488984,-0.1601234,349.6653,19.35364,339.4619
10085,0.9634001,-0.116171,0.1462308,-0.1923051,350.3519,19.33686,335.7755
10086,0.9587859,-0.116804,0.1483826,-0.2122948,350.7363,19.78815,333.4107
10087,0.9570321,-0.1156843,0.1499253,-0.2196115,351.0498,19.9952,332.5711
10088,0.9505852,-0.1149101,0.1497995,-0.2464619,351.6845,20.18571,329.4469
10089,0.9458776,-0.1152085,0.1535433,-0.2616626,352.0914,20.73988,327.624
10090,0.937574,-0.1168088,0.1501799,-0.2911302,352.4385,20.65191,324.1197
10091,0.9363128,-0.1144822,0.1562347,-0.2929215,352.9432,21.2466,323.9306
10092,0.930219,-0.1136748,0.1595004,-0.3103714,353.5419,21.69397,321.8583
10093,0.9224705,-0.1117012,0.1614439,-0.3324264,354.3331,21.95923,319.2649
10094,0.9176133,-0.1094838,0.1675436,-0.3434073,355.0747,22.58749,317.9801
10095,0.911535,-0.1097794,0.1686521,-0.3586209,355.4591,22.794,316.1323
10096,0.9034826,-0.108435,0.1671915,-0.379484,356.0408,22.66407,313.6392
10097,0.8980392,-0.1062124,0.1701729,-0.3915174,356.7029,22.92069,312.22
10098,0.8934184,-0.1004565,0.1722177,-0.4025581,357.6591,22.88785,311.0151
10099,0.8870251,-0.09963746,0.174841,-0.4155594,358.1978,23.15262,309.4259
10100,0.8908066,-0.1006385,0.1780632,-0.4057452,358.0056,23.52497,310.608
10101,0.875625,-0.09546159,0.17354,-0.440513,359.1816,22.83357,306.4222
10102,0.8768688,-0.09244998,0.1776201,-0.4370413,359.6059,23.09876,306.9351
10103,0.875842,-0.08833246,0.1794298,-0.4392076,0.1651986,23.07267,306.769
10104,0.8702586,-0.08858994,0.1787668,-0.4503824,0.3915906,23.0139,305.3541
10105,0.8623242,-0.08907305,0.1829471,-0.4636738,0.9188287,23.46397,303.6568
10106,0.8599606,-0.09023708,0.1810997,-0.4685384,0.8310267,23.33321,303.0052
10107,0.8615012,-0.08874805,0.1812831,-0.4659143,0.9174411,23.2722,303.3784
10108,0.857581,-0.08687288,0.1823884,-0.4730142,1.349071,23.27342,302.5184
10109,0.856017,-0.08705616,0.1806551,-0.476466,1.32416,23.10086,302.0693
10110,0.8548454,-0.08619861,0.1837601,-0.4775369,1.612027,23.36929,301.9559
10111,0.8542829,-0.08716181,0.1824575,-0.4788664,1.479763,23.28782,301.7595
10112,0.8513673,-0.08535589,0.1844575,-0.4835945,1.894932,23.38168,301.1972
10113,0.851368,-0.08334869,0.1820699,-0.4848468,1.984621,23.02136,301.0819
10114,0.8502859,-0.08225968,0.1816428,-0.4870864,2.124039,22.91091,300.818
10115,0.8531082,-0.0805562,0.1817959,-0.4823563,2.174009,22.84106,301.4707
10116,0.8539512,-0.07945876,0.1819477,-0.4809873,2.253525,22.79815,301.6737
10117,0.8562877,-0.0801291,0.1809077,-0.4770988,2.028383,22.73809,302.1573
10118,0.8616798,-0.07473448,0.1833787,-0.4672205,2.43937,22.71903,303.5552
10119,0.8642174,-0.07364382,0.1806488,-0.4637577,2.307696,22.38661,304.0188
10120,0.8705084,-0.06986645,0.1785726,-0.4532611,2.306285,21.99569,305.4376
10121,0.8729438,-0.0692911,0.1765493,-0.4494424,2.161882,21.76396,305.9315
10122,0.8742788,-0.06801346,0.1758642,-0.4473059,2.200974,21.63092,306.2294
10123,0.8846754,-0.06715861,0.1765838,-0.4262129,1.816434,21.70774,308.9012
10124,0.8851308,-0.06614105,0.1752655,-0.4259708,1.846903,21.51867,308.9525
10125,0.8888953,-0.06609111,0.1732737,-0.4188955,1.585636,21.31863,309.8338
10126,0.893788,-0.06691629,0.1733564,-0.4081823,1.255111,21.38317,311.1458
10127,0.8984412,-0.0648956,0.1735805,-0.398073,1.236861,21.32481,312.4394
10128,0.9024364,-0.06910668,0.1751038,-0.3875199,0.62933,21.69236,313.6417
10129,0.9012635,-0.07011855,0.1727786,-0.3910949,0.501636,21.48749,313.1792
10130,0.9019083,-0.07165907,0.1730536,-0.3892031,0.3120421,21.58876,313.3759
10131,0.9019552,-0.07438026,0.1717021,-0.3891824,359.9697,21.56954,313.3151
10132,0.9020231,-0.07458499,0.1733777,-0.388242,0.004022982,21.7585,313.4255
10133,0.9024906,-0.07486485,0.1730996,-0.3872243,359.9385,21.74156,313.5435
10134,0.9026149,-0.07673165,0.1722058,-0.3869675,359.6996,21.73174,313.5309
10135,0.9030942,-0.07775103,0.1721186,-0.3856825,359.5607,21.76891,313.664
10136,0.9036797,-0.08064142,0.1720229,-0.3837556,359.214,21.89059,313.8301
10137,0.9047941,-0.0803104,0.17426,-0.3801728,359.2648,22.11293,314.2744
10138,0.903036,-0.08028385,0.1742646,-0.3843337,359.367,22.11513,313.7669
10139,0.9011561,-0.08306846,0.1722627,-0.3890285,359.1013,22.03354,313.1254
10140,0.8933382,-0.08452539,0.1712948,-0.4067686,359.3316,22.01432,310.9071
10141,0.887751,-0.08465281,0.1696929,-0.4194478,359.5447,21.85857,309.3322
10142,0.8859259,-0.08612734,0.165543,-0.4246327,359.3116,21.49926,308.6516
10143,0.8832018,-0.08538383,0.1674016,-0.4296988,359.6013,21.65928,308.0357
10144,0.8820523,-0.08554277,0.1686834,-0.4315231,359.6949,21.80246,307.8031
10145,0.8798556,-0.0848603,0.1653489,-0.437393,359.7316,21.42019,307.0836
10146,0.8750845,-0.08484428,0.1614547,-0.4482867,359.7859,21.01698,305.7101
10147,0.8732321,-0.08189139,0.1596526,-0.4530681,0.09434544,20.67293,305.173
10148,0.8741934,-0.08167273,0.1611785,-0.4507073,0.142845,20.81946,305.4778
10149,0.8703334,-0.07892288,0.1609044,-0.4586946,0.5863495,20.64046,304.5253
10150,0.8548935,-0.08093011,0.1543832,-0.4886444,0.716427,20.06471,300.6235
10151,0.8533198,-0.07627699,0.1514865,-0.4930307,1.100012,19.50007,300.1521
10152,0.840638,-0.07206731,0.1506534,-0.5152066,1.952457,19.13161,297.3228
10153,0.8415792,-0.07141191,0.1491013,-0.5142118,1.899232,18.9402,297.4663
10154,0.8373854,-0.06960188,0.1475742,-0.5216929,2.143913,18.66283,296.5063
10155,0.8271909,-0.06821562,0.141917,-0.5394084,2.306652,17.97652,294.1484
10156,0.8243024,-0.06580769,0.1405311,-0.5444685,2.552722,17.67648,293.5059
10157,0.8199885,-0.06241587,0.141894,-0.5509894,3.095682,17.57322,292.6805
10158,0.8182516,-0.05920649,0.1389146,-0.5546727,3.279836,17.06733,292.2275
